,train_score,sparsity_sc,sparsity_sp,sparsity_diff
sept4,0.87446904,0.160483016085173,0.14197530864197527,-0.01850770744319774
kcnc1,0.87431914,0.18076231737106507,0.16666666666666663,-0.014095650704398444
tsc22d4,0.8732819,0.7378439415587408,0.17901234567901236,-0.5588315958797284
sirt2,0.8728165,0.11324146195326545,0.12654320987654322,0.013301747923277762
ephx4,0.8723099,0.17481679494861035,0.16666666666666663,-0.008150128281943725
sec14l1,0.87093544,0.12748306217449412,0.154320987654321,0.026837925479826885
sez6l,0.87091774,0.1929759874637047,0.16049382716049387,-0.03248216030321083
ugt8a,0.87078977,0.9473199059777849,0.6265432098765432,-0.3207766961012417
ociad2,0.87036484,0.148499792598055,0.14814814814814814,-0.0003516444499068738
shisa4,0.87033606,0.06779739134442553,0.15740740740740744,0.08961001606298191
syne1,0.86977506,0.023828179010923156,0.1635802469135802,0.13975206790265704
cyth4,0.86859304,0.9840530948979122,0.9320987654320988,-0.051954329465813354
pdp1,0.8676689,0.1561506199013688,0.16049382716049387,0.00434320725912507
camk2n2,0.86735827,0.179057012490206,0.16975308641975306,-0.00930392607045294
p2ry12,0.86723775,0.9635433470064986,0.6481481481481481,-0.31539519885835043
dnm3,0.86704904,0.053740148407613986,0.16049382716049387,0.10675367875287989
lrrc4c,0.8670393,0.1065585103931419,0.1635802469135802,0.05702173652043829
p2ry13,0.8670229,0.9845600774300595,0.9290123456790124,-0.0555477317510471
npy,0.86661756,0.49753422132091996,0.12654320987654322,-0.37099101144437674
adora1,0.8664856,0.3840162234410287,0.1635802469135802,-0.2204359765274485
fgf12,0.8658813,0.049730377471539855,0.16975308641975306,0.12002270894821321
ivns1abp,0.8657706,0.05756556205927088,0.16975308641975306,0.11218752436048218
cryab,0.86414284,0.4582200304189519,0.20679012345679015,-0.2514299069621617
p2ry6,0.86358684,0.9792137161819606,0.9722222222222222,-0.006991493959738415
acsl3,0.86349493,0.0820389915656542,0.14197530864197527,0.05993631707632108
laptm4b,0.8633373,0.09144121307093145,0.18827160493827155,0.0968303918673401
ak5,0.8631348,0.24127759598101117,0.17592592592592593,-0.06535167005508524
srcin1,0.8627324,0.07268285938148134,0.16666666666666663,0.0939838072851853
s100a1,0.86213434,0.8040282066645158,0.18518518518518523,-0.6188430214793306
rims3,0.8620574,0.23832787943033595,0.2006172839506173,-0.03771059547971867
ahi1,0.86189574,0.03783933262663042,0.154320987654321,0.11648165502769059
gjb1,0.8616408,0.982025164769323,0.8765432098765432,-0.10548195489277978
